Title,Authors,Abstract,Year,URL,Citations,Readers,References,DOI,PDF
Lyapunov exponents and phase transition of charged Ads black hole in quintessence,"Xiaobo Guo, Rui Yang, Yizhi Liang, Jun Tao","This study investigates the phase transitions of RN-AdS black holes immersed in a quintessence field, employing Lyapunov exponents as a dynamical probe to characterize the thermodynamics of black hole. Incorporating quintessence dark energy into the RN-AdS framework, we find that the Lyapunov exponents for null and timelike geodesics display diminished chaotic behavior with increasing normalization factor of the quintessence field. This feature introduces a finite cutoff to the Lyapunov exponent of unstable circular photon orbits, setting it apart from RN-AdS black hole. At phase transition points, both the free energy and Lyapunov exponents display multivalued branches, reflecting the coexistence of distinct black hole phases. Furthermore, the discontinuity in the Lyapunov exponent can serve as an order parameter with a critical exponent of $1/2$ near the critical point, consistent with the thermodynamic criticality of van der Waals fluids.. These work suggest that Lyapunov exponents provide a framework for probing the thermodynamics of black holes.",2025.0,http://arxiv.org/abs/2508.03519v1,92.0,274.0,,,
Error Detection and Correction for Interpretable Mathematics in Large Language Models,"Yijin Yang, Cristina Cornelio, Mario Leiva, Paulo Shakarian","Recent large language models (LLMs) have demonstrated the ability to perform explicit multi-step reasoning such as chain-of-thought prompting. However, their intermediate steps often contain errors that can propagate leading to inaccurate final predictions. Additionally, LLMs still struggle with hallucinations and often fail to adhere to prescribed output formats, which is particularly problematic for tasks like generating mathematical expressions or source code. This work introduces EDCIM (Error Detection and Correction for Interpretable Mathematics), a method for detecting and correcting these errors in interpretable mathematics tasks, where the model must generate the exact functional form that explicitly solve the problem (expressed in natural language) rather than a black-box solution. EDCIM uses LLMs to generate a system of equations for a given problem, followed by a symbolic error-detection framework that identifies errors and provides targeted feedback for LLM-based correction. To optimize efficiency, EDCIM integrates lightweight, open-source LLMs with more powerful proprietary models, balancing cost and accuracy. This balance is controlled by a single hyperparameter, allowing users to control the trade-off based on their cost and accuracy requirements. Experimental results across different datasets show that EDCIM significantly reduces both computational and financial costs, while maintaining, and even improving, prediction accuracy when the balance is properly configured.",2025.0,http://arxiv.org/abs/2508.03500v1,42.0,98.0,,,
Regular Rotating Black Hole: Probing the boundaries of the Radiative Signatures and Jet Power,"Subhadip Sau, John W. Moffat","We perform a detailed observational analysis of several galactic X-ray binaries, focusing on the interplay between black hole spin, jet power, and radiative efficiency within the context of Blandford-Znajek-powered jets. Using updated measurements from continuum fitting and Fe-line methods, we constrain the spin parameter a and the deviation parameter $\beta$ for five key black hole systems: H1743-322, XTE J1550-564, GRS 1124-683, GRO J1655-40, and GRS 1915+105. For each system, we compare the allowed parameter spaces derived independently from observed radiative efficiencies and emitted jet powers under different assumptions for the jet Lorentz factor $\Gamma=2,5$. By overlapping these observational constraints with theoretical expectations for regular black holes, we assess the viability of various spin-deviation combinations in explaining the observed phenomena. Our results reveal significant restrictions on the allowed values of $\beta$, with typical upper bounds around 0.38 - 0.4, except for rapidly spinning sources where the constraint becomes notably tighter. We further present a modified method for generating rotating solutions from static regular black hole spacetimes and provide a robust theoretical framework for relating jet power to black hole angular frequency in curved geometries. We also find that the theoretical jet power is modified by regularization factor for regular black holes. These findings place stringent observational bounds on deviations from the Kerr geometry and provide important insight into the astrophysical mechanisms powering accreting stellar-mass black holes.",2025.0,http://arxiv.org/abs/2508.03473v1,261.0,683.0,,,
Tidal disruptions of close white dwarf binaries by intermediate mass black holes,"Aryabrat Mahapatra, Adarsh Pandey, Pritam Banerjee, Tapobrata Sarkar","We perform a suite of numerical simulations of tidal disruption events, using smoothed particle hydrodynamics, for a close binary system consisting of two low-mass white dwarfs, and an intermediate mass non-spinning black hole. The binary components are considered to be detached and on the same plane with the black hole. Our results quantify how the outcomes of these events depend crucially on the positional configuration of the binary components at the orbital pericenter, and we also show how distinctive behaviour for non-identical mass binaries arise, as compared to identical ones. We highlight these differences on observables such as mass fallback rates, kick velocities and gravitational waves, and also compute clump formation time within the stellar debris. In our setup, prograde binary motion, where the angular momentum of the binary is in the same direction as that of the center of mass motion around the black hole, is qualitatively similar to multiple events of single star tidal disruptions. However, we argue that interactions between stellar debris in the corresponding retrograde scenarios result in different and distinct outcomes. Our results should serve as indicative benchmarks in the observational aspects of tidal interactions between close white dwarf binaries and intermediate mass black holes.",2025.0,http://arxiv.org/abs/2508.03463v1,207.0,802.0,,,
Interstitial oxygen order and its competition with superconductivity in La$_2$PrNi$_2$O$_{7+δ}$,"Zehao Dong, Gang Wang, Ningning Wang, Wen-Han Dong, Lin Gu, Yong Xu, Jinguang Cheng, Zhen Chen, Yayu Wang","High-temperature superconductivity in bilayer nickelate La$_3$Ni$_2$O$_7$ under pressure has attracted significant interest in condensed matter physics. While early samples exhibited limited superconducting volume fractions, Pr substitution for La enabled bulk superconductivity in polycrystals under pressure and enhanced transition temperatures in thin films at ambient pressure. Beyond rare-earth doping, moderate oxygen or ozone annealing improves superconductivity by mitigating oxygen vacancies, whereas high-pressure oxygen annealing leads to a trivial, non-superconducting metallic state across all pressure regimes. These findings highlight the need to elucidate both the individual and combined effects of Pr doping and oxygen stoichiometry in modulating superconductivity in bilayer nickelates. Here, using multislice electron ptychography and electron energy-loss spectroscopy, we investigate the structural and electronic properties of as-grown La$_2$PrNi$_2$O$_7$ and high-pressure-oxygen-annealed La$_2$PrNi$_2$O$_{7+\delta}$ polycrystals. We find that Pr dopants preferentially occupy outer La sites, effectively eliminating inner-apical oxygen vacancies and ensuring near-stoichiometry in as-grown La$_2$PrNi$_2$O$_7$ that is bulk-superconducting under pressure. In contrast, high-pressure oxygen annealing induces a striped interstitial oxygen order, introducing quasi-1D lattice potentials and excess hole carriers into p-d hybridized orbitals, ultimately suppressing superconductivity. This behavior starkly contrasts with cuprate superconductors, where similar interstitial oxygen ordering enhances superconductivity instead. Our findings reveal a competition between striped interstitial oxygen order and superconductivity in bilayer nickelates, offering key insights into their distinct pairing mechanisms and providing a roadmap for designing more robust superconducting phases.",2025.0,http://arxiv.org/abs/2508.03414v1,301.0,1069.0,,,
AdS$_3$ black holes with primary Proca hair from regularized Gauss-Bonnet coupling,"Gokhan Alkac, Murat Mesta, Gonul Unal","We construct a consistent three-dimensional Einstein-Gauss-Bonnet theory as a vector-tensor theory within the generalized Proca class by employing a regularization procedure based on the Weyl geometry, which was introduced recently in arXiv:2504.13084. We then obtain an asymptotically AdS$_3$, static, and circularly symmetric black hole solution with primary Proca hair. Afterwards, we investigate the effect of the scalar-tensor Gauss-Bonnet coupling constructed previously by different regularization schemes. We further generalize these solutions by incorporating an electric charge.",2025.0,http://arxiv.org/abs/2508.03386v1,349.0,860.0,,,
Squeezed Quasinormal Modes from Nonlinear Gravitational Effects,"Sreenath K. Manikandan, Frank Wilczek",We demonstrate that long-lived black hole quasi-normal modes become quantum mechanically squeezed due to nonlinear gravitational effects. We estimate the degree of squeezing for the fundamental mode of a Schwarzschild black hole quantitatively.,2025.0,http://arxiv.org/abs/2508.03380v1,415.0,1606.0,,,
All Photonic Isolator using Atomically Thin (2D) Bismuth Telluride (Bi2Te3),"Saswata Goswami, Bruno Ipaves, Juan Gomez Quispe, Caique Campos de Oliveira, Surbhi Slathia, Abhijith M. B, Varinder Pal, Christiano J. S. de Matos, Samit K. Ray, Douglas S. Galvao, Pedro A. S. Autreto, Chandra Sekhar Tiwary","This study demonstrates that two-dimensional (2D) Bi2Te3 exhibits strong light-matter interaction, enabling a broadband Kerr nonlinear optical response. This characteristic is advantageous for nonreciprocal light propagation in passive photonic isolators. Using Spatial Self-Phase Modulation (SSPM) spectroscopy, self-induced diffraction patterns in the far field were observed at excitation wavelengths of 650 nm, 532 nm, and 405 nm to calculate the nonlinear refractive index (n2) and the third-order nonlinear optical susceptibility (chi^(3)) of the synthesized 2D Bi2Te3.   The results show that 2D Bi2Te3 possesses a significantly higher nonlinear refractive index than graphene. The laser-induced hole coherence effect is responsible for the large magnitude of the third-order nonlinear susceptibility. Surface engineering techniques were also employed to enhance the response speed of the photonic system.   Complementary ab initio simulations were performed to gain further insight into the observed nonlinear behavior. Leveraging the strong Kerr nonlinearity of 2D Bi2Te3, a nonlinear photonic isolator that breaks time-reversal symmetry and enables unidirectional light propagation was demonstrated. This work establishes Bi2Te3 as a novel 2D material for nonlinear photonics, expanding its potential applications in detectors, modulators, and optical switches.",2025.0,http://arxiv.org/abs/2508.03319v1,62.0,259.0,,,
BDFirewall: Towards Effective and Expeditiously Black-Box Backdoor Defense in MLaaS,"Ye Li, Chengcheng Zhu, Yanchao Zhao, Jiale Zhang","In this paper, we endeavor to address the challenges of backdoor attacks countermeasures in black-box scenarios, thereby fortifying the security of inference under MLaaS. We first categorize backdoor triggers from a new perspective, i.e., their impact on the patched area, and divide them into: high-visibility triggers (HVT), semi-visibility triggers (SVT), and low-visibility triggers (LVT). Based on this classification, we propose a progressive defense framework, BDFirewall, that removes these triggers from the most conspicuous to the most subtle, without requiring model access. First, for HVTs, which create the most significant local semantic distortions, we identify and eliminate them by detecting these salient differences. We then restore the patched area to mitigate the adverse impact of such removal process. The localized purification designed for HVTs is, however, ineffective against SVTs, which globally perturb benign features. We therefore model an SVT-poisoned input as a mixture of a trigger and benign features, where we unconventionally treat the benign features as ""noise"". This formulation allows us to reconstruct SVTs by applying a denoising process that removes these benign ""noise"" features. The SVT-free input is then obtained by subtracting the reconstructed trigger. Finally, to neutralize the nearly imperceptible but fragile LVTs, we introduce lightweight noise to disrupt the trigger pattern and then apply DDPM to restore any collateral impact on clean features. Comprehensive experiments demonstrate that our method outperforms state-of-the-art defenses. Compared with baselines, BDFirewall reduces the Attack Success Rate (ASR) by an average of 33.25%, improving poisoned sample accuracy (PA) by 29.64%, and achieving up to a 111x speedup in inference time. Code will be made publicly available upon acceptance.",2025.0,http://arxiv.org/abs/2508.03307v1,457.0,1647.0,,,
The shadow and quasinormal modes of the asymptotically flat hairy black holes with a dilaton potential,"Sheng-Han Xiong, Yong-Zhuang Li, Xiao-Mei Kuang, Jerzy Matyjasek","In this article, the shadow and the quasinormal modes (QNMs) of an exact asymptotically flat hairy electrically charged black hole solution with a dilaton potential are investigated. Using the {constraint} equation among the integration constant $\eta$ of the gravitational field, the mass $M$, the electric charge $Q$ and the coupling constant $\nu$ between the $U(1)$ field and the dilaton field, we find that the shadow radii, the Lyapunov exponent $\lambda$ and the coordinate angular velocity $\Omega_{c}$ only significantly affected by $\nu$ if the $Q$ is close to the extremal value, especially when $\nu$ approaches to one. Furthermore, the QNMs are numerically computed by using the Hatsuda method and verify with the higher-order WKB approximations with the Pad\'e summation. We find that the QNMs are close to that of the low energy limit of the string theory when $\nu$ is large enough. In the eikonal limit, the real and imaginary parts are proved to be given by $\Omega_{c}$ and $\lambda$, respectively.",2025.0,http://arxiv.org/abs/2508.03270v1,459.0,755.0,,,
Towards Interpretable Concept Learning over Time Series via Temporal Logic Semantics,"Irene Ferfoglia, Simone Silvetti, Gaia Saveri, Laura Nenzi, Luca Bortolussi","Time series classification is a task of paramount importance, as this kind of data often arises in safety-critical applications. However, it is typically tackled with black-box deep learning methods, making it hard for humans to understand the rationale behind their output. To take on this challenge, we propose a neuro-symbolic framework that unifies classification and explanation through direct embedding of trajectories into a space of Signal Temporal Logic (STL) concepts. By introducing a novel STL-inspired kernel that maps raw time series to their alignment with predefined STL formulae, our model jointly optimises for accuracy and interpretability, as each prediction is accompanied by the most relevant logical concepts that characterise it. This enables classification grounded in human-interpretable temporal patterns and produces both local and global symbolic explanations. Early results show competitive performance while offering high-quality logical justifications for model decisions.",2025.0,http://arxiv.org/abs/2508.03269v1,212.0,507.0,,,
Timelike Liouville theory and AdS$_3$ gravity at finite cutoff,"Kuroush Allameh, Edgar Shaghoulian","We propose that AdS$_3$ gravity with conformal boundary conditions is described by coupling the holographic CFT to timelike Liouville theory and deforming by an exactly marginal operator. In this description, the Liouville field controls the finite-cutoff radial wall in the bulk. We check this proposal in the semiclassical limit by matching the sphere and torus partition functions between the bulk and boundary theories. By scaling parameters of the Liouville theory we can push our bulk description deep inside the interior of black hole geometries. The same scaling of parameters leads to a flat-space limit with a two-dimensional CFT as its holographic dual theory.",2025.0,http://arxiv.org/abs/2508.03236v1,414.0,772.0,,,
Particle Dynamics and Thermal Properties in Kalb-Ramond ModMax Black Holes: Theoretical Predictions for Observational Tests of Exotic Physics,"Faizuddin Ahmed, Ahmad Al-Badawi, İzzet Sakallı","We present a comprehensive theoretical study of geodesic motion and thermodynamic behavior in Kalb--Ramond (KR) black hole (BH) spacetimes sourced by ModMax electrodynamics. Both neutral and charged test particle dynamics are investigated, highlighting how the Lorentz symmetry breaking (LSB) parameter $\ell$, the ModMax nonlinearity parameter $\gamma$, and the discrete branch parameter $\zeta$ significantly modify orbital structures compared to classical Schwarzschild and Reissner--Nordstr\""{o}m (RN) solutions. Effective potential analysis reveals notable shifts in the innermost stable circular orbit (ISCO): ordinary branches allow stable orbits closer to the horizon, while phantom branches shift them outward by factors of 5--10. For charged particles, the combined influence of modified gravity and nonlinear electromagnetic fields may induce chaotic trajectories in certain regimes. On the thermodynamic side, we derive full expressions for Hawking temperature, entropy, and Helmholtz free energy. Ordinary branches exhibit divergent specific heat indicating second-order phase transitions, whereas phantom branches yield consistently negative specific heat, implying thermal instability. Phantom BHs are found to possess higher Hawking temperatures and show distinct thermodynamic phase structures, including Hawking--Page-type transitions. Observational features such as BH shadows and gravitational lensing are explored, revealing parameter-dependent changes in photon sphere radii and deflection angles. Notably, the deflection angle analysis via the Gauss--Bonnet theorem method (GBTm) shows opposite-sign electromagnetic corrections for phantom versus ordinary branches, suggesting potential observational discriminants.",2025.0,http://arxiv.org/abs/2508.03226v1,345.0,917.0,,,
GeoShield: Safeguarding Geolocation Privacy from Vision-Language Models via Adversarial Perturbations,"Xinwei Liu, Xiaojun Jia, Yuan Xun, Simeng Qin, Xiaochun Cao","Vision-Language Models (VLMs) such as GPT-4o now demonstrate a remarkable ability to infer users' locations from public shared images, posing a substantial risk to geoprivacy. Although adversarial perturbations offer a potential defense, current methods are ill-suited for this scenario: they often perform poorly on high-resolution images and low perturbation budgets, and may introduce irrelevant semantic content. To address these limitations, we propose GeoShield, a novel adversarial framework designed for robust geoprivacy protection in real-world scenarios. GeoShield comprises three key modules: a feature disentanglement module that separates geographical and non-geographical information, an exposure element identification module that pinpoints geo-revealing regions within an image, and a scale-adaptive enhancement module that jointly optimizes perturbations at both global and local levels to ensure effectiveness across resolutions. Extensive experiments on challenging benchmarks show that GeoShield consistently surpasses prior methods in black-box settings, achieving strong privacy protection with minimal impact on visual or semantic quality. To our knowledge, this work is the first to explore adversarial perturbations for defending against geolocation inference by advanced VLMs, providing a practical and effective solution to escalating privacy concerns.",2025.0,http://arxiv.org/abs/2508.03209v1,231.0,449.0,,,
"Quantum Oppenheimer-Snyder Black Hole with Quintessential Dark Energy and a String Clouds: Geodesics, Perturbative Dynamics, and Thermal Properties","Faizuddin Ahmed, Ahmad Al-Badawi, İzzet Sakallı","In this paper, we explore a deformed Schwarzschild black hole (BH) within a loop quantum gravity (LQG) framework incorporating both a quintessence field (QF) and a cloud of strings (CS), aiming to understand how these exotic fields collectively influence various physical phenomena in the BH's vicinity. We systematically investigate the quantum Oppenheimer--Snyder (QOS) spacetime by deriving the complete metric and analyzing horizon structures, showing significant modifications to the classical geometry through the interplay of quantum deformation effects, CS, and QF parameters. Our comprehensive geodesic analysis demonstrates that null geodesics exhibit modified effective potentials and altered photon trajectories, while timelike geodesics show enhanced orbital velocities and geodesic precession frequencies compared to classical predictions, providing potentially observable signatures through precision measurements. The BH shadow investigation reveals systematic increases in shadow radius with both CS and QF parameters, offering new possibilities for testing exotic matter configurations through next-generation high-resolution observations. We examine field perturbations of different spins -- including scalar, electromagnetic (EM), and fermionic fields -- demonstrating that the BH remains stable under external disturbances while exhibiting modified quasinormal mode (QNM) spectra that could serve as observational discriminators. Most remarkably, our thermodynamic analysis reveals exotic thermal behavior including negative temperature regimes, fundamentally altered stability conditions, and genuine phase transitions between distinct BH configurations, extending well beyond classical general relativity predictions.",2025.0,http://arxiv.org/abs/2508.03202v1,361.0,1021.0,,,
